[2026-03-16 17:34:52] [HỆ THỐNG] Server Java khởi động, kết nối MQTT thành công.
[2026-03-16 17:34:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:34:59] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:35:04] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:35:09] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:35:14] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:35:19] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:35:24] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:35:29] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:35:33] [NODE 2] Phát hiện có chuyển động trong phòng.
[2026-03-16 17:35:34] [NODE 2] Phát hiện có chuyển động trong phòng.
[2026-03-16 17:35:34] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 59.0%
[2026-03-16 17:35:39] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 59.0%
[2026-03-16 17:35:44] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 59.0%
[2026-03-16 17:35:49] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 59.0%
[2026-03-16 17:35:54] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 59.0%
[2026-03-16 17:35:59] [NODE 2] Cập nhật -> Nhiệt độ: 24.4°C, Độ ẩm: 59.0%
[2026-03-16 17:36:04] [NODE 2] Cập nhật -> Nhiệt độ: 24.3°C, Độ ẩm: 59.0%
[2026-03-16 17:36:09] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:36:14] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:36:19] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:36:24] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:36:29] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 59.0%
[2026-03-16 17:36:34] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:36:39] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:36:44] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
